Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction_alpha[1]	extinction_alpha[2]	extinction_alpha[3]	extinction_beta[1]	extinction_beta[2]	hidden_rate1	hidden_rate2	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta[1]	speciation_beta[2]
42	-9190.806	-9175.152	-15.6539	0.316807	0.0685537	0.0682599	0.175877	0.0380578	0.0378947	-1.14946	-2.68014	-2.68443	-0.588511	-0.0983835	1.95545	0.2061906	1.15057	0.6633846	0.007821194	0.0114714	1.906866	2.536531	0.0985584	0.171973	0.0690308	0.376205	0.0970503	0.187183	0.0544087	0.0422769	0.0453107	0.202018	0.156973	0.168237	-2.91123	-3.16351	-3.09421	1.31183	1.3286
43	-9160.362	-9147.511	-12.85109	0.299838	0.0644979	0.0705128	0.16655	0.0358265	0.0391676	-1.20451	-2.74112	-2.65196	-0.587945	-0.25929	1.9322	0.1796538	1.15057	0.4023894	0.007821194	0.01204562	1.153905	1.453401	0.0978055	0.175819	0.0705747	0.384619	0.0798123	0.191369	0.0489629	0.040236	0.0453107	0.181798	0.149395	0.168237	-3.01669	-3.21299	-3.09421	1.31183	1.3286
44	-9142.67	-9129.495	-13.17462	0.26996	0.0601388	0.072133	0.149954	0.0334051	0.0400675	-1.30948	-2.8111	-2.62924	-0.587945	-0.202631	1.949221	0.1698624	1.772456	0.6292887	0.005429766	0.01046852	1.153905	1.007725	0.103186	0.185492	0.0744573	0.405778	0.0842031	0.146884	0.0532443	0.0391226	0.0453107	0.197695	0.145261	0.168237	-2.93286	-3.24106	-3.09421	1.31183	1.3286
45	-9123.682	-9111.613	-12.06916	0.26996	0.0601388	0.072133	0.149954	0.0334051	0.0400675	-1.30948	-2.8111	-2.62924	-0.587945	-0.198651	2.285125	0.1597297	1.568022	0.5216782	0.004531527	0.009596293	0.8571125	0.7536559	0.0921139	0.139421	0.199938	0.362237	0.0751678	0.131123	0.0552698	0.0391226	0.0464611	0.205215	0.145261	0.172509	-2.89553	-3.24106	-3.06914	1.31183	1.38255
46	-9093.886	-9080.684	-13.20188	0.26996	0.0584465	0.0788284	0.146102	0.0316313	0.042662	-1.30948	-2.83964	-2.54048	-0.613965	-0.198651	2.949082	0.1438913	1.412299	0.820886	0.007604521	0.008879185	0.8783458	0.7536559	0.0653091	0.0988499	0.141757	0.256827	0.34429	0.0929666	0.0552698	0.0391226	0.046155	0.195435	0.138338	0.163204	-2.89553	-3.24106	-3.07575	1.263	1.33557
47	-9061.876	-9049.445	-12.43131	0.293357	0.0507293	0.0804914	0.146741	0.0253753	0.0402627	-1.22636	-2.98125	-2.51961	-0.692725	-0.0962968	3.528766	0.1296473	1.034361	0.8899218	0.005849341	0.006481612	0.3947833	0.781347	0.0877256	0.132779	0.190413	0.34498	0.109922	0.134181	0.0552698	0.0391226	0.0424648	0.195435	0.138338	0.150156	-2.89553	-3.24106	-3.15908	1.263	1.33557
48	-9052.975	-9038.617	-14.35807	0.269507	0.0507293	0.0804914	0.13481	0.0253753	0.0402627	-1.31116	-2.98125	-2.51961	-0.692725	-0.0962968	4.226012	0.1139307	1.347775	0.8899218	0.005349181	0.008221991	0.5150498	1.209504	0.0927993	0.140458	0.161087	0.364932	0.0813471	0.159376	0.0651749	0.0391226	0.0402916	0.230459	0.138338	0.142472	-2.73068	-3.24106	-3.21161	1.263	1.25331
49	-9034.209	-9020.197	-14.01244	0.295461	0.0461078	0.0747348	0.137835	0.0215097	0.0348644	-1.21922	-3.07677	-2.59381	-0.762479	-0.0962968	4.510474	0.114688	1.347775	0.7534576	0.004231809	0.004335186	0.7294729	0.8336347	0.0934553	0.141451	0.162226	0.367512	0.0748532	0.160503	0.0610119	0.0376207	0.0402916	0.215739	0.133027	0.142472	-2.79669	-3.2802	-3.21161	1.263	1.20689
50	-9030.46	-9015.396	-15.06393	0.306496	0.0486738	0.0747348	0.142983	0.0227067	0.0348644	-1.18255	-3.02262	-2.59381	-0.762479	-0.111523	5.352505	0.1052882	1.347775	0.7771874	0.004231809	0.005297363	0.9966438	0.6259543	0.105857	0.205442	0.122237	0.389123	0.056402	0.120939	0.0561994	0.0368792	0.0402916	0.198722	0.130405	0.142472	-2.87885	-3.30011	-3.21161	1.263	1.16432
51	-9021.38	-9007.108	-14.2719	0.278823	0.0481931	0.0807334	0.121775	0.0210481	0.0352599	-1.27718	-3.03254	-2.5166	-0.828405	-0.0458044	6.108553	0.1065942	1.18885	0.7687564	0.004231809	0.005337313	0.3380611	0.6053203	0.0768697	0.169548	0.286089	0.321137	0.0465476	0.0998092	0.0561994	0.0359645	0.0402916	0.198722	0.127171	0.142472	-2.87885	-3.32522	-3.21161	1.263	1.09492
