Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extra[1]	extra[2]	extra[3]	extra[4]	extra[5]	extra[6]	hidden_rate1	hidden_rate2	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta[1]	speciation_beta[2]
34	-11122.56	-11135.32	12.75982	0.1566	0.161751	0.0329092	0.218355	0.778414	0.171527	0.119873	0.0250821	0.00266175	0.0232403	0.0523579	0.0108371	0.01433036	0.1390779	0.001622272	0.04294405	0.03033329	0.001588329	0.002019564	0.1357546	0.159204	0.102912	0.106342	0.125109	0.137791	0.368641	0.0459094	0.170836	0.0378093	0.243894	0.90757	0.200862	-3.08109	-1.76705	-3.2752	1.67006	0.0583038
35	-10973.66	-10986.83	13.16918	0.15968	0.150135	0.0388888	0.255579	0.78224	0.218889	0.119873	0.0250821	0.00266175	0.0232403	0.0523579	0.00744774	0.01391173	0.1455801	0.0017834	0.03092275	0.03033329	0.001705141	0.001376317	0.1357546	0.159204	0.102912	0.106342	0.125109	0.137791	0.368641	0.0497593	0.156317	0.0452838	0.290423	0.912353	0.264302	-3.00056	-1.85587	-3.09481	1.76414	0.0479432
36	-10549.94	-10564.32	14.38254	0.0901373	0.129218	0.0465267	0.292964	0.722254	0.289627	0.046922	0.0250821	0.00266175	0.0149646	0.0523579	0.00744774	0.01391173	0.1455801	0.001157644	0.02089144	0.01631111	0.001762856	0.0009167159	0.126422	0.195625	0.126455	0.100863	0.153731	0.169313	0.254013	0.0540191	0.13017	0.0548312	0.347499	0.83737	0.352724	-2.91842	-2.03891	-2.9035	1.86143	0.0702768
37	-10458.75	-10473.13	14.38001	0.0901373	0.122444	0.0579476	0.315967	0.747715	0.390495	0.046922	0.021207	0.00295305	0.0149646	0.0425856	0.00744774	0.01124982	0.1593312	0.001767892	0.01804831	0.01631111	0.001463807	0.0009167159	0.126422	0.140603	0.345394	0.0724939	0.13725	0.121692	0.182568	0.0540191	0.126546	0.0687432	0.376253	0.881412	0.478809	-2.91842	-2.06715	-2.67738	1.94092	0.0702768
38	-10346.8	-10361.31	14.50099	0.0924041	0.122075	0.0568683	0.413095	0.925541	0.485062	0.046922	0.021207	0.00187369	0.0149646	0.0425856	0.00366342	0.009010355	0.1659763	0.001767892	0.01804831	0.01631111	0.0007726262	0.0009167159	0.1215192	0.140603	0.345394	0.0724939	0.13725	0.121692	0.182568	0.0568527	0.126085	0.0687432	0.497664	1.10369	0.601748	-2.86729	-2.0708	-2.67738	2.16946	0.0980866
39	-10119.15	-10134.97	15.82452	0.0924041	0.12115	0.0615858	0.409328	0.925541	0.526601	0.046922	0.0202815	0.00187369	0.0111972	0.0425856	0.0039069	0.008893209	0.1828313	0.001767892	0.01804831	0.007469117	0.000469052	0.0003702719	0.08718381	0.200408	0.107319	0.103329	0.195628	0.133094	0.260223	0.0568527	0.126085	0.0746401	0.497664	1.10369	0.653367	-2.86729	-2.0708	-2.59508	2.16946	0.0980866
40	-9947.261	-9963.515	16.25338	0.0966968	0.111066	0.0687722	0.487326	0.899327	0.639936	0.046984	0.0202815	0.00266654	0.00940977	0.0265682	0.00442443	0.008821342	0.1828313	0.001767892	0.01268114	0.004739654	0.0007203654	0.0004080169	0.06174404	0.200408	0.107319	0.103329	0.195628	0.133094	0.260223	0.0621409	0.11348	0.0826321	0.597396	1.09095	0.794389	-2.77835	-2.17613	-2.49336	2.26318	0.028389
41	-9845.047	-9861.806	16.75898	0.0989822	0.1009	0.0704719	0.522255	0.824899	0.659699	0.046984	0.0202815	0.00439625	0.00658732	0.025403	0.00442443	0.007768186	0.1828313	0.001808855	0.006175044	0.004561569	0.0007203654	0.0004080169	0.04616468	0.0739105	0.0699086	0.0673093	0.127434	0.491926	0.169512	0.0649977	0.100773	0.0825946	0.644585	0.99937	0.819094	-2.7334	-2.29488	-2.49381	2.29425	0.0455751
42	-9820.145	-9836.834	16.68887	0.115936	0.0920219	0.0658954	0.714408	0.817856	0.63165	0.046984	0.0148252	0.00461642	0.00658732	0.025403	0.00259871	0.006365536	0.1766364	0.001808855	0.004841603	0.004561569	0.0009269315	0.0005147921	0.04616468	0.0739105	0.0699086	0.0673093	0.127434	0.491926	0.169512	0.0861904	0.096496	0.0765987	0.884776	0.990567	0.786314	-2.4512	-2.33825	-2.56917	2.32878	0.0455751
43	-9811.389	-9827.491	16.10238	0.105686	0.0923305	0.0577624	0.609186	0.824347	0.567741	0.046984	0.0151337	0.00264675	0.00658732	0.0318935	0.00195894	0.005594876	0.179515	0.00242706	0.004465103	0.004561569	0.0009269315	0.001106887	0.04616468	0.105313	0.0996104	0.0959068	0.181576	0.276063	0.241531	0.0733776	0.096496	0.0688945	0.753248	0.990567	0.707228	-2.61214	-2.33825	-2.67518	2.32878	0.0540392
