Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extra	log_speciation[1]	log_speciation[2]	log_speciation[3]	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	speciation[1]	speciation[2]	speciation[3]
52	-11120.35	-11127.06	6.700882	0.41339	0.0341715	0.180568	0.0002120737	-0.660734	-3.15944	-1.48968	0.1998142	0.002365104	0.07928166	0.0005689614	0.01887735	0.001996062	0.600971	0.0717784	0.32725	0.516472	0.0424493	0.225445
53	-11120.55	-11127.52	6.974764	0.411532	0.0334382	0.199383	0.0002120737	-0.665242	-3.18128	-1.39045	0.1998142	0.002244996	0.07928166	0.0003651998	0.0158921	0.001996062	0.600971	0.0717784	0.32725	0.514149	0.0415327	0.248963
54	-11118.79	-11125.94	7.146219	0.41141	0.0369588	0.170462	9.086854e-05	-0.665242	-3.07727	-1.54663	0.1890087	0.002244996	0.07928166	0.0003651998	0.01281252	0.002584029	0.627521	0.0670025	0.305476	0.514149	0.0460849	0.212964
55	-11118.88	-11125.72	6.832972	0.428745	0.03137	0.182895	9.086854e-05	-0.623961	-3.24166	-1.47619	0.1890087	0.00247828	0.07928166	0.0003134575	0.01281252	0.003432611	0.627521	0.0670025	0.305476	0.535818	0.039099	0.228506
56	-11117.49	-11124.13	6.635009	0.418191	0.0347477	0.178174	9.086854e-05	-0.648892	-3.13912	-1.50236	0.1890087	0.00247828	0.07928166	0.0004009076	0.01281252	0.005017213	0.627521	0.0670025	0.305476	0.522625	0.0433211	0.222604
57	-11117.52	-11124.07	6.547204	0.413524	0.0347477	0.178845	9.086854e-05	-0.660116	-3.13912	-1.4986	0.1890087	0.002817176	0.07928166	0.0003913221	0.01401283	0.005017213	0.627521	0.0670025	0.305476	0.516791	0.0433211	0.223443
58	-11117.68	-11123.95	6.272265	0.413524	0.0329239	0.180299	9.086854e-05	-0.660116	-3.19318	-1.4905	0.1890087	0.002817176	0.07928166	0.000635207	0.01401283	0.004913132	0.245718	0.135682	0.6186	0.516791	0.0410413	0.22526
59	-11115.57	-11121.99	6.419999	0.403474	0.0328876	0.184033	9.086854e-05	-0.684725	-3.19428	-1.46999	0.1890087	0.003411201	0.06952583	0.000635207	0.0136274	0.003732264	0.245718	0.135682	0.6186	0.504229	0.0409959	0.229927
60	-11112.39	-11119.31	6.918915	0.400258	0.0353029	0.179029	8.797484e-05	-0.692722	-3.12314	-1.49756	0.1848049	0.003411201	0.06952583	0.0002901161	0.01315888	0.003732264	0.177489	0.147956	0.674555	0.500213	0.0440187	0.223676
61	-11114.6	-11121.47	6.866838	0.419768	0.0379756	0.176138	8.797484e-05	-0.645119	-3.04999	-1.51384	0.1848049	0.004763669	0.06897746	0.0002296353	0.01222873	0.004102345	0.177489	0.147956	0.674555	0.5246	0.0473595	0.220063
62	-11112.44	-11119.64	7.202281	0.402115	0.0378729	0.170616	8.797484e-05	-0.688091	-3.0527	-1.54571	0.1848049	0.002929786	0.06897746	0.0002296353	0.01363165	0.003454681	0.177489	0.147956	0.674555	0.502534	0.0472312	0.213161
63	-11113.24	-11120.34	7.10379	0.394958	0.0383478	0.170616	8.797484e-05	-0.706056	-3.04021	-1.54571	0.1848049	0.002929786	0.06897746	0.0002539374	0.01461695	0.003735691	0.177489	0.147956	0.674555	0.493587	0.0478247	0.213161
64	-11116.45	-11123.67	7.222045	0.432624	0.0359531	0.173981	0.0004463317	-0.615775	-3.11489	-1.52823	0.1848049	0.002929786	0.06897746	0.0002068759	0.01044851	0.003735691	0.177489	0.147956	0.674555	0.540222	0.0443835	0.216919
65	-11115.16	-11122.42	7.251086	0.422963	0.0374432	0.1798	0.0005304586	-0.638583	-3.07605	-1.49572	0.1830552	0.003119178	0.06897746	0.0002082286	0.01042142	0.003590405	0.177489	0.147956	0.674555	0.52804	0.046141	0.224088
