Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extra	log_speciation[1]	log_speciation[2]	log_speciation[3]	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	speciation[1]	speciation[2]	speciation[3]
66	-11626.53	-11623.13	-3.397552	0.0477302	0.0529835	0.496481	2.245783e-05	-2.81952	-2.71505	-0.477112	2.470928	0.02786744	0.8467794	0.01593148	0.1435579	0.006394768	0.306359	0.210661	0.48298	0.0596347	0.0662013	0.620573
67	-11630.36	-11626.45	-3.906888	0.0571275	0.0550206	0.510302	0.0001673804	-2.64226	-2.67995	-0.449937	2.470928	0.04477033	0.8467794	0.01593148	0.1435579	0.01170292	0.306359	0.210661	0.48298	0.0712001	0.0685665	0.637668
68	-11627.92	-11624.18	-3.745122	0.0437581	0.0550206	0.490794	0.0001673804	-2.90977	-2.67995	-0.488928	2.470928	0.03525534	0.8467794	0.01593148	0.1435579	0.009568895	0.306359	0.210661	0.48298	0.0544883	0.0685665	0.613284
69	-11630.55	-11627.25	-3.300251	0.0429863	0.0590514	0.459322	7.0367e-05	-2.92537	-2.6074	-0.555013	2.470928	0.01553365	0.8467794	0.01593148	0.134383	0.01215841	0.306359	0.210661	0.48298	0.0536449	0.0737263	0.574065
70	-11628.25	-11624.45	-3.801833	0.0377397	0.0537124	0.47415	7.0367e-05	-3.05576	-2.70228	-0.523237	2.470928	0.01879345	0.903845	0.01963788	0.134383	0.01357005	0.306359	0.210661	0.48298	0.0470867	0.0670525	0.592599
71	-11630.71	-11626.47	-4.24207	0.0379844	0.0500023	0.472025	7.0367e-05	-3.04929	-2.77395	-0.527729	2.470928	0.02779002	0.903845	0.0183767	0.134383	0.02199756	0.306359	0.210661	0.48298	0.0473925	0.0624149	0.589943
72	-11628.35	-11624.28	-4.069689	0.0405426	0.0540259	0.502944	0.0003182239	-2.99014	-2.70106	-0.464765	2.451797	0.02779002	0.86623	0.0183767	0.134383	0.01813324	0.306359	0.210661	0.48298	0.0502805	0.0671346	0.628283
73	-11628.97	-11624.77	-4.199146	0.0426627	0.0535093	0.511041	0.0003182239	-2.93877	-2.71072	-0.448785	2.451797	0.02967351	0.86623	0.0183767	0.134383	0.02201512	0.509448	0.148983	0.34157	0.0529306	0.0664888	0.638403
74	-11628.97	-11624.91	-4.052564	0.0466168	0.0556154	0.490109	0.0001068552	-2.84495	-2.66807	-0.490202	2.451797	0.02194246	0.86623	0.02352852	0.134383	0.02201512	0.377475	0.189063	0.433462	0.0581374	0.0693857	0.612503
75	-11628.33	-11624.23	-4.102497	0.0529316	0.0461235	0.49027	0.0002675649	-2.72068	-2.85911	-0.490202	2.451797	0.03159691	0.86623	0.01733177	0.134383	0.02158233	0.377475	0.189063	0.433462	0.0658301	0.0573199	0.612503
76	-11627.92	-11624.07	-3.85144	0.0529316	0.0530486	0.49027	0.0002675649	-2.72068	-2.71846	-0.490202	2.451797	0.03172985	0.8384156	0.01733177	0.134383	0.01629399	0.116153	0.268428	0.615419	0.0658301	0.0659763	0.612503
77	-11627.61	-11623.84	-3.769046	0.0495029	0.0530486	0.498167	0.0002675649	-2.788	-2.71846	-0.474214	2.451797	0.02478061	0.8384156	0.01733177	0.134383	0.01629399	0.107695	0.321699	0.570606	0.0615441	0.0659763	0.622374
78	-11629.77	-11626.16	-3.603608	0.0501186	0.0553215	0.505804	0.0008833216	-2.788	-2.68755	-0.46021	2.451797	0.02473571	0.8384156	0.01733177	0.134383	0.01168937	0.122988	0.225375	0.651637	0.0615441	0.0680477	0.631151
79	-11629.59	-11625.87	-3.721096	0.0537331	0.054274	0.505804	0.0008833216	-2.71716	-2.70698	-0.46021	2.451797	0.02469403	0.8384156	0.01733177	0.1330551	0.01557095	0.259429	0.4754	0.265171	0.0660622	0.0667383	0.631151
80	-11629.96	-11626.58	-3.389275	0.0577953	0.0560998	0.483148	0.0007585908	-2.64092	-2.67109	-0.505859	2.451797	0.02450536	0.8384156	0.01689628	0.1330551	0.01019937	0.259429	0.4754	0.265171	0.0712959	0.0691765	0.602987
81	-11628.94	-11625.41	-3.525558	0.0565204	0.0560998	0.496187	0.0007585908	-2.66352	-2.67109	-0.47919	2.34092	0.02688311	0.8384156	0.01689628	0.1330551	0.01453108	0.442273	0.458628	0.0990996	0.0697023	0.0691765	0.619285
82	-11630.86	-11627.2	-3.657288	0.0679783	0.05432	0.496651	0.001223462	-2.48358	-2.7125	-0.47919	2.34092	0.03053558	0.8384156	0.01690905	0.1330551	0.01765599	0.442273	0.458628	0.0990996	0.0834436	0.0663706	0.619285
83	-11631.19	-11627.59	-3.593985	0.0681071	0.0544813	0.506693	0.001223462	-2.48166	-2.70947	-0.459124	2.34092	0.03959202	0.8384156	0.01328884	0.1330551	0.01451187	0.442273	0.458628	0.0990996	0.0836046	0.0665722	0.631837
84	-11630.89	-11627.69	-3.209304	0.066023	0.0539997	0.478916	0.001223462	-2.51331	-2.71855	-0.515645	2.34092	0.03321638	0.8384156	0.009623878	0.1193834	0.01451187	0.247498	0.504388	0.248114	0.0809994	0.0659703	0.597115
85	-11627.09	-11623.98	-3.113159	0.0645586	0.0528994	0.477815	0.0001231542	-2.51895	-2.71855	-0.515645	2.331498	0.03081747	0.8384156	0.009623878	0.1193834	0.01330551	0.197136	0.605237	0.197627	0.0805443	0.0659703	0.597115
86	-11629.26	-11626.27	-2.992257	0.0686897	0.0516763	0.501542	0.0003108382	-2.45955	-2.74565	-0.467544	2.321302	0.02831597	0.8068043	0.009623878	0.1193834	0.01163448	0.201722	0.619316	0.178962	0.0854736	0.0642069	0.626539
87	-11629.87	-11626.87	-2.996775	0.0680119	0.0495689	0.501542	0.0003108382	-2.46951	-2.78754	-0.467544	2.321302	0.03176931	0.8837397	0.006500819	0.1193834	0.01163448	0.173096	0.641525	0.185379	0.0846263	0.0615726	0.626539
88	-11626.55	-11623.66	-2.892014	0.0759651	0.0495689	0.473815	0.0003108382	-2.35844	-2.78754	-0.52445	2.321302	0.03176931	0.8409616	0.006866665	0.1193834	0.01218922	0.169676	0.648607	0.181717	0.0945679	0.0615726	0.591881
89	-11628.62	-11625.31	-3.314179	0.0618358	0.0461892	0.473815	0.0003108382	-2.56517	-2.85862	-0.52445	2.321302	0.03700937	0.8409616	0.006057745	0.1193834	0.02290825	0.0894126	0.711305	0.199283	0.0769062	0.057348	0.591881
90	-11625.78	-11622.42	-3.353985	0.0658949	0.0464852	0.47085	0.000160948	-2.499	-2.84895	-0.530413	2.321302	0.05528709	0.8305381	0.004656957	0.1193834	0.02290825	0.148505	0.520509	0.330987	0.0821675	0.0579053	0.588362
91	-11625.56	-11622.21	-3.349695	0.0634641	0.0464852	0.481139	0.000160948	-2.53668	-2.84895	-0.508791	2.230146	0.05528709	0.8305381	0.005203276	0.1193834	0.02359718	0.138541	0.55268	0.308779	0.0791289	0.0579053	0.601222
92	-11625.89	-11622.76	-3.129125	0.0645248	0.0515993	0.481218	0.0002407515	-2.5213	-2.74578	-0.508791	2.230146	0.05528709	0.8305381	0.003717771	0.1193834	0.02359718	0.138541	0.55268	0.308779	0.080355	0.0641982	0.601222
93	-11626.92	-11623.56	-3.3602	0.063621	0.04722	0.488768	0.0002407515	-2.53546	-2.8349	-0.493216	2.197695	0.06607555	0.8305381	0.004085979	0.1193834	0.02648494	0.0878209	0.716444	0.195735	0.0792253	0.0587241	0.610659
94	-11626.13	-11622.55	-3.573281	0.0668426	0.0461634	0.488764	0.0002364352	-2.48581	-2.85756	-0.493216	2.254362	0.06607555	0.8305381	0.00499571	0.1280033	0.02648494	0.0878209	0.716444	0.195735	0.0832577	0.0574087	0.610659
95	-11625.36	-11622.19	-3.178402	0.0670051	0.0441493	0.488764	0.0002364352	-2.48338	-2.9024	-0.493216	2.254362	0.06560206	0.8305381	0.002504034	0.1280033	0.02337451	0.11105	0.296989	0.591962	0.0834608	0.0548911	0.610659
96	-11632.62	-11629.02	-3.603894	0.0606985	0.0437359	0.498615	0.0006083864	-2.58877	-2.92045	-0.473998	2.254362	0.08654129	0.8305381	0.002984919	0.1192103	0.03167375	0.229925	0.614906	0.155168	0.0751126	0.0539094	0.622508
97	-11627.2	-11623.77	-3.425268	0.068487	0.0488084	0.498615	0.0006083864	-2.46689	-2.80925	-0.473998	2.254362	0.06824095	0.8305381	0.00325317	0.1198268	0.03167375	0.229925	0.614906	0.155168	0.0848483	0.0602501	0.622508
98	-11627.46	-11624.07	-3.392951	0.0674501	0.0463565	0.480408	0.0004702489	-2.48022	-2.85845	-0.510955	2.254362	0.06104358	0.8760623	0.00310623	0.1198268	0.03167375	0.229925	0.614906	0.155168	0.0837248	0.0573578	0.599922
99	-11629.96	-11626.59	-3.368241	0.0644039	0.0472953	0.48107	0.001192365	-2.53813	-2.85373	-0.511081	2.254362	0.06104358	0.8738924	0.00310623	0.113357	0.03167375	0.361945	0.393792	0.244263	0.0790144	0.0576287	0.599847
100	-11629.26	-11626.1	-3.163556	0.0744936	0.0486722	0.48107	0.001192365	-2.39003	-2.82431	-0.511081	2.254362	0.0592484	0.8738924	0.002307185	0.113357	0.03213479	0.243455	0.592247	0.164299	0.0916266	0.0593498	0.599847
101	-11626.8	-11623.6	-3.201579	0.0790617	0.0466183	0.476527	0.0002537353	-2.3176	-2.84808	-0.51862	2.254362	0.06438689	0.8738924	0.002307185	0.113357	0.03213479	0.531032	0.110594	0.358374	0.0985099	0.0579557	0.595342
102	-11624.7	-11621.61	-3.085469	0.0849411	0.0431003	0.476527	0.0002537353	-2.24564	-2.92699	-0.51862	2.300068	0.05806757	0.8033582	0.002307185	0.113357	0.03000105	0.186358	0.0388114	0.774831	0.105859	0.0535582	0.595342
